43.7-1.62i	6.794+17.88i	72.51+0.8931i	79.56-0.05188i
38.38-1.418i	8.026+41.6i	88.05-8.567i	89.87-46.37i
28.47-1.043i	0.3873+20.97i	101.6-18.78i	89.66-3.143i
22.57-0.9436i	15.83+1.468i	94.6+10.64i	90.07-3.997i
21.31-0.9104i	7.417-32.28i	42.12-1.212i	56.77+6.048i
20.94-0.9894i	2.868-9.777i	140.8+19.89i	93.4-21.4i
15.39-0.5854i	50.74+40.31i	97.93+11.39i	90.87+40.38i
14.68-0.5592i	2.044-15.8i	117.2-5.717i	89.91+4.458i
-14.18+2.388e-06i	78.63+22.4i	92.18-6.052i	177.4+10.95i
13.66-0.5334i	155.2-5.95i	146.3-14.66i	61.41+11.21i
-9.946-0.01203i	77.77+6.835i	91.24-25.48i	0.1127+80.51i
8.233-0.3423i	169.6+19.57i	31.7-12.32i	176.3+46.53i
-7.861+2.116e-06i	2.002+29.68i	27.6-24.73i	32.58+6.479i
-7.46+4.433e-06i	28.89-10.87i	17.48-23.23i	4.235-13.71i
-7.412+4.856e-06i	17.33-19.17i	161.8+1.135i	45.52+67.36i
-4.726+1.034e-05i	139.5-21.08i	134.7+35.98i	117.4+28.66i
-4.548-0.03933i	134.2+21.42i	31.35+60.9i	66.46-5.344i
-4.548+0.03383i	50.5-52.63i	109.5-69.76i	23.88+13.66i
-4.316+1.22e-05i	134.5-36.76i	82.72-81.88i	92.07+39.67i
-4.147+4.619e-06i	9.377-9.709i	119.4+6.255i	98.24-1.921i
-3.997+2.124e-06i	5.464-21.53i	96.94-41.71i	76.35-41.36i
-3.437+5.528e-06i	14.28-31.05i	122.8+9.321i	148.1-4.386i
-3.166-0.01692i	30.57+20.51i	76.46+14.14i	68.46-39.48i
-2.849-0.001342i	18.28-9.52i	79.33+0.5832i	79.25+0.9172i
-2.715+6.585e-06i	69.29-14.73i	139-6.885i	95.5+39.07i
-2.597+3.271e-06i	50.59-9.449i	48.33+53.87i	106+36.8i
-2.485-0.0003444i	116.3-30.56i	92.36-22.94i	68.68+20.62i
-2.432+3.703e-06i	10.68-41.3i	122.7-10.79i	55.17+5.285i
-2.308+1.08e-05i	159.1+8.849i	100+44.07i	40.11-37.09i
-2.195-0.0008631i	23.57-17.36i	87.92-9.958i	87.26+0.4264i
-2.173+1.734e-05i	19.1+16.87i	39.01-1.043i	73.2+7.186i
-1.998+0.1681i	0.05334+20.6i	17.73-96.04i	16.67-112.5i
-1.998-0.1681i	0.3404+13.8i	99.63+54.22i	78.08+27.75i
-2.086+3.312e-07i	19.34+20.92i	65.06-7.657i	74.5+8.31i
-2.043-8.476e-05i	14.07+10.53i	9.619-124.4i	104.9-14.22i
-2.003-2.642e-08i	101.5+17.54i	93.81+40.06i	12.9+13.35i
-2.002+3.516e-07i	11.98-32.74i	90.15-83.6i	132.1-53.95i
-1.7-0.0006994i	0.9449+42.39i	65.36-15.22i	134.5-12.93i
-1.791-0.003109i	21.04+30.59i	77.74+5.536i	94.7+68.44i
-1.757+0.0344i	0.05461-29.87i	131.5-61.05i	92.92-2.276i
-1.755-0.03335i	22.06-20.62i	104.2-110.9i	123.4-65.37i
-1.756+0.01895i	159.3-65.93i	108.1-114.5i	5.98+12.07i
-1.755-0.01908i	115+34.18i	104+36.79i	4.737+28.6i
-1.826-0.001629i	22.85-8.658i	5.766+17.18i	2.357+47.86i
-1.849-3.637e-06i	17.1+16.79i	0.6173+28.36i	1.885+55.05i
-1.965+2.587e-07i	13.33-17.12i	85.45+34.34i	78.85-1.623i
-1.898-9.462e-07i	1.317+19.74i	46.26+52.53i	42.52+46.34i
-1.964-2.864e-06i	9.981-7.06i	129.5-75.75i	141.5-60.52i
-1.956-1.102e-06i	9.166+18.4i	42.16+8.579i	70.19+0.2763i
-1.955-2.312e-06i	11.9-22.84i	52.4-82.04i	100.2-70.77i
-1.948-5.762e-07i	59.24-0.5097i	107.5+13.9i	144.3-12.59i
-1.944-7.121e-06i	126.9-9.477i	64.78+10.54i	119.8-28.65i
-1.939-2.561e-06i	11.34-0.7179i	68.23-3.587i	61.37+0.1234i
-1.938+2.518e-08i	5.662-40.97i	153.9+1.683i	174.1-78.04i
-1.928+1.174e-08i	1.697-6.927i	0.08752-15.72i	6.652-21.2i
-1.928-1.865e-08i	5.774-16.42i	102.8+3.521i	90.1+44.75i
-1.932+2.15e-05i	6.833-11.9i	26.2+67.38i	12.84-15.48i
-1.932-2.172e-05i	32.34+41.16i	70.08+43.46i	52.81+27.99i
-1.614-0.0001421i	12.4-27.61i	52.16+8.35i	76.44+14.29i
-1.577+1.315e-06i	23.47-2.679i	71.68+4.415i	91.56+0.5692i
-1.55+1.774e-06i	1.977-5.569i	77.11-14.65i	97.14-10.27i
-1.534-6.542e-07i	20.66+38.13i	4.675+64.01i	4.514+78.8i
-1.535+8.336e-06i	22.08-23.94i	85.51-0.105i	93.66+12.77i
-1.496-4.536e-06i	2.255-8.454i	128.1-0.01142i	108.3+2.471i
-1.484-0.0002525i	10.9-3.391i	84.47+25.58i	113.1+12.8i
-1.48+2.51e-07i	12.62-28.08i	27.71-2.527i	42.13+5.956i
-1.419+3.723e-06i	15.59+31.48i	84.34+11.78i	50.9+10.26i
-1.466-1.66e-05i	0.2986+25.24i	74.39+20.37i	85.99+0.1932i
-1.467+1.755e-08i	17.76-10.83i	77.7+72.81i	86.7+42.97i
-1.448-1.015e-05i	13.06-2.354i	55.21+3.633i	123.6+0.6185i
-1.445+1.711e-07i	52.35-0.8209i	87.94+11.34i	92.4+25.71i
-1.436-1.641e-07i	1.808+11.07i	177.4-64.66i	158.2-79.34i
-1.436-1.052e-08i	20.37+9.124i	41.66-7.223i	45.16-5.952i
-1.305-0.004957i	15.13-17.22i	21.22+0.6767i	6.071-22.07i
-1.25+6.295e-06i	6.462-3.618i	14.4+33.55i	27.84+47.83i
-1.244-6.775e-05i	9.488+20.88i	33.12-9.912i	49.45-15.08i
-1.173-0.01154i	8.689-27.34i	74.08+16.87i	82.1+39.87i
-1.173+0.01155i	3.601+10.94i	167.2+6.509i	167.9+7.673i
-1.17-0.0004992i	0.4145-11.44i	72.99+44.67i	73.25+19.87i
-1.131-0.0013i	3.527-34.27i	104.4+4.08i	75.02+34.53i
-1.125+7.553e-05i	120.9-29.47i	66.21-59.14i	173.5+87.11i
-1.123+5.296e-06i	1.811-7.85i	92.02-4.281i	85.75+0.29i
-1.12-1.991e-06i	1.742-6.338i	136.4+84.77i	111.7+57.72i
-1.104-0.0001163i	21.43+17.85i	73.08-105.7i	153.9-105.6i
-1.094+5.74e-06i	63.36-31.04i	47.29+0.7329i	88.5-45.7i
-1.049-1.412e-06i	1.355+5.087i	25.89+5.53i	38.33+2.328i
-1.083+8.65e-07i	1.062-9.274i	123.6-5.238i	118.7+6.982i
-1.082-3.6e-05i	3.842+14.85i	21.91-22.47i	20.73-40.56i
