43.699-1.6198i,43.705-1.62i,43.71-1.6202i,43.716-1.6204i,43.721-1.6205i
38.384-1.4181i,38.38-1.418i,38.376-1.4178i,38.372-1.4177i,38.368-1.4176i
28.472-1.0428i,28.471-1.0427i,28.469-1.0426i,28.468-1.0426i,28.466-1.0425i
22.566-0.94361i,22.564-0.94349i,22.562-0.94337i,22.559-0.94326i,22.557-0.94314i
21.312-0.91037i,21.315-0.9106i,21.319-0.91081i,21.322-0.91103i,21.325-0.91124i
20.937-0.98936i,20.937-0.98928i,20.937-0.9892i,20.937-0.98912i,20.937-0.98905i
15.385-0.58537i,15.384-0.58533i,15.383-0.58528i,15.381-0.58524i,15.38-0.5852i
14.681-0.55918i,14.682-0.55922i,14.684-0.55927i,14.685-0.55931i,14.687-0.55936i
-14.177+2.3884e-06i,-14.175+2.3887e-06i,-14.173+2.389e-06i,-14.171+2.3893e-06i,-14.169+2.3895e-06i
13.664-0.53343i,13.664-0.53343i,13.665-0.53343i,13.665-0.53344i,13.665-0.53344i
-9.9459-0.012027i,-9.9454-0.01201i,-9.945-0.011994i,-9.9446-0.011978i,-9.9441-0.011962i
8.2331-0.3423i,8.2334-0.34231i,8.2336-0.34232i,8.2339-0.34233i,8.2342-0.34234i
-7.8607+2.1163e-06i,-7.8623+2.116e-06i,-7.8639+2.1157e-06i,-7.8655+2.1155e-06i,-7.8671+2.1152e-06i
-7.4596+4.4327e-06i,-7.4582+4.4266e-06i,-7.4569+4.4203e-06i,-7.4555+4.414e-06i,-7.4542+4.4077e-06i
-7.4117+4.8562e-06i,-7.4109+4.8638e-06i,-7.4101+4.8715e-06i,-7.4094+4.8791e-06i,-7.4086+4.8868e-06i
-4.7263+1.0339e-05i,-4.7258+1.0341e-05i,-4.7252+1.0344e-05i,-4.7247+1.0347e-05i,-4.7242+1.0349e-05i
-4.5481-0.039326i,-4.548-0.03917i,-4.5479-0.039017i,-4.5479+0.033402i,-4.5477+0.033264i
-4.5482+0.033833i,-4.5481+0.033686i,-4.548+0.033543i,-4.5478-0.038867i,-4.5477-0.038721i
-4.3163+1.22e-05i,-4.316+1.2184e-05i,-4.3157+1.2169e-05i,-4.3154+1.2153e-05i,-4.3151+1.2138e-05i
-4.147+4.6192e-06i,-4.1475+4.6351e-06i,-4.1479+4.6508e-06i,-4.1484+4.6664e-06i,-4.1488+4.6819e-06i
-3.9971+2.1236e-06i,-3.998+2.1209e-06i,-3.9988+2.1183e-06i,-3.9996+2.1157e-06i,-4.0004+2.1132e-06i
-3.4368+5.5284e-06i,-3.4366+5.5381e-06i,-3.4363+5.5477e-06i,-3.436+5.557e-06i,-3.4358+5.5662e-06i
-3.1657-0.016921i,-3.1658-0.016929i,-3.1659-0.016937i,-3.166-0.016945i,-3.1661-0.016952i
-2.849-0.0013416i,-2.8487-0.0013399i,-2.8484-0.0013382i,-2.8481-0.0013365i,-2.8478-0.0013349i
-2.7153+6.585e-06i,-2.7148+6.5828e-06i,-2.7144+6.5806e-06i,-2.714+6.5785e-06i,-2.7135+6.5764e-06i
-2.5969+3.2711e-06i,-2.5972+3.266e-06i,-2.5974+3.2611e-06i,-2.5977+3.2563e-06i,-2.5979+3.2517e-06i
-2.4855-0.00034439i,-2.4853-0.00034432i,-2.4852-0.00034426i,-2.4851-0.0003442i,-2.485-0.00034414i
-2.4321+3.7032e-06i,-2.4318+3.7006e-06i,-2.4316+3.698e-06i,-2.4314+3.6955e-06i,-2.4311+3.6931e-06i
-2.3082+1.0796e-05i,-2.3078+1.0803e-05i,-2.3074+1.0809e-05i,-2.3071+1.0815e-05i,-2.3067+1.0822e-05i
-2.1947-0.00086315i,-2.1947-0.00086355i,-2.1947-0.00086394i,-2.1946-0.00086432i,-2.1946-0.0008647i
-2.1733+1.734e-05i,-2.1728+1.7337e-05i,-2.1724+1.7334e-05i,-2.172+1.7332e-05i,-2.1716+1.7331e-05i
-1.9978+0.16812i,-2.0857+3.2317e-07i,-1.9979+0.1685i,-2.0853+3.0757e-07i,-2.0851+3.0001e-07i
-1.9978-0.1681i,-1.9978+0.16831i,-1.9979-0.16848i,-1.9979-0.16867i,-1.998+0.16886i
-2.0859+3.312e-07i,-1.9978-0.1683i,-2.0855+3.1529e-07i,-1.9979+0.16868i,-1.9979-0.16884i
-2.0433-8.4765e-05i,-2.043-8.4929e-05i,-2.0426-8.509e-05i,-2.0423-8.5247e-05i,-2.042-8.54e-05i
-2.0032-2.6418e-08i,-2.003-1.9994e-08i,-2.0027-1.3397e-08i,-2.0024-6.638e-09i,-2.0022+2.8799e-10i
-2.0021+3.5161e-07i,-2.0018+3.6131e-07i,-2.0016+3.7029e-07i,-2.0013+3.7854e-07i,-2.0011+3.8609e-07i
-1.6996-0.00069937i,-1.9645+2.5027e-07i,-1.6997-0.00070759i,-1.964+2.3471e-07i,-1.9638+2.275e-07i
-1.7906-0.0031089i,-1.9633-2.8489e-06i,-1.7902-0.0031643i,-1.9627-2.8198e-06i,-1.9625-2.8055e-06i
-1.7566+0.0344i,-1.9559-1.1443e-06i,-1.7567+0.034654i,-1.9553-1.2272e-06i,-1.9551-1.2677e-06i
-1.7555-0.033355i,-1.9547-2.334e-06i,-1.7556-0.033645i,-1.9541-2.3766e-06i,-1.9539-2.3974e-06i
-1.7561+0.018955i,-1.8982-9.237e-07i,-1.7562+0.019486i,-1.8977-8.8093e-07i,-1.8974-8.6058e-07i
-1.7548-0.019076i,-1.9475-5.7405e-07i,-1.7548-0.019511i,-1.9469-5.6974e-07i,-1.9466-5.6759e-07i
-1.8261-0.0016292i,-1.9442-7.0924e-06i,-1.8257-0.0016211i,-1.9436-7.0364e-06i,-1.9434-7.009e-06i
-1.8486-3.6369e-06i,-1.9386-2.5984e-06i,-1.8482-2.9372e-06i,-1.938-2.6726e-06i,-1.9378-2.7089e-06i
-1.9648+2.5868e-07i,-1.9382+2.7614e-08i,-1.9643+2.4229e-07i,-1.9377+3.2541e-08i,-1.9374+3.5026e-08i
-1.8985-9.4615e-07i,-1.9321-2.2027e-05i,-1.8979-9.0196e-07i,-1.9316+2.2391e-05i,-1.9313+2.267e-05i
-1.9635-2.8639e-06i,-1.9321+2.1808e-05i,-1.963-2.8342e-06i,-1.9316-2.2607e-05i,-1.9313-2.2884e-05i
-1.9562-1.1022e-06i,-1.9273+1.165e-08i,-1.9556-1.186e-06i,-1.9267-1.8776e-08i,-1.9265+1.1372e-08i
-1.9549-2.3123e-06i,-1.9273-1.869e-08i,-1.9544-2.3554e-06i,-1.9267+1.1466e-08i,-1.9265-1.8819e-08i
-1.9477-5.7622e-07i,-1.8484-3.28e-06i,-1.9472-5.7189e-07i,-1.848-2.6082e-06i,-1.8478-2.2926e-06i
-1.9445-7.1208e-06i,-1.8259-0.0016252i,-1.9439-7.0642e-06i,-1.8255-0.0016171i,-1.8253-0.0016131i
-1.9388-2.5605e-06i,-1.7904-0.0031368i,-1.9383-2.6358e-06i,-1.7901-0.0031913i,-1.7899-0.0032178i
-1.9385+2.5179e-08i,-1.7567+0.034529i,-1.9379+3.0068e-08i,-1.7568+0.034774i,-1.7568+0.03489i
-1.9275+1.174e-08i,-1.7556-0.033502i,-1.927+1.1558e-08i,-1.7557-0.033783i,-1.7558-0.033916i
-1.9276-1.8649e-08i,-1.7562+0.019225i,-1.927-1.8733e-08i,-1.7562+0.019739i,-1.7562+0.019984i
-1.9324+2.1503e-05i,-1.7548-0.019297i,-1.9319+2.2104e-05i,-1.7548-0.019717i,-1.7548-0.019916i
-1.9324-2.1724e-05i,-1.6996-0.00070352i,-1.9319-2.2321e-05i,-1.6998-0.00071158i,-1.6998-0.00071549i
-1.6144-0.00014208i,-1.6143-0.00014216i,-1.6141-0.00014224i,-1.6139-0.00014232i,-1.6138-0.0001424i
-1.5767+1.3154e-06i,-1.5768+1.3355e-06i,-1.577+1.3547e-06i,-1.5772+1.3732e-06i,-1.5773+1.3908e-06i
-1.55+1.7737e-06i,-1.55+1.7463e-06i,-1.55+1.72e-06i,-1.55+1.6948e-06i,-1.55+1.6706e-06i
-1.5345-6.5416e-07i,-1.535+8.3221e-06i,-1.5341-6.3125e-07i,-1.5347+8.2915e-06i,-1.5345+8.2748e-06i
-1.5352+8.3358e-06i,-1.5343-6.4261e-07i,-1.5349+8.3073e-06i,-1.5339-6.201e-07i,-1.5337-6.0919e-07i
-1.4962-4.5361e-06i,-1.496-4.3527e-06i,-1.4958-4.1814e-06i,-1.4957-4.023e-06i,-1.4955-3.878e-06i
-1.4837-0.0002525i,-1.3051-0.0049572i,-1.4837-0.0002526i,-1.4838-0.00025262i,-1.4838-0.00025261i
-1.4804+2.5105e-07i,-1.4837-0.00025256i,-1.48+2.6649e-07i,-1.4799+2.7135e-07i,-1.4797+2.75e-07i
-1.419+3.7228e-06i,-1.4802+2.5995e-07i,-1.4196+3.7082e-06i,-1.4662+1.9116e-08i,-1.466+1.9562e-08i
-1.4663-1.66e-05i,-1.4666+1.8108e-08i,-1.4659-1.6074e-05i,-1.4657-1.5835e-05i,-1.4655-1.5611e-05i
-1.4668+1.7553e-08i,-1.4661-1.6328e-05i,-1.4664+1.8633e-08i,-1.4198+3.7008e-06i,-1.4201+3.6932e-06i
-1.4478-1.0151e-05i,-1.4193+3.7156e-06i,-1.4474-9.9799e-06i,-1.4444+1.8431e-07i,-1.4442+1.8906e-07i
-1.445+1.7106e-07i,-1.4448+1.7531e-07i,-1.4446+1.7972e-07i,-1.4472-9.8988e-06i,-1.447-9.8203e-06i
-1.4364-1.6408e-07i,-1.4476-1.0064e-05i,-1.4359-1.8777e-07i,-1.4357-2.026e-07i,-1.4355-2.2073e-07i
-1.4364-1.0516e-08i,-1.4362-1.4819e-09i,-1.436+9.0765e-09i,-1.4357+2.1866e-08i,-1.4355+3.7963e-08i
-1.305-0.0049567i,-1.2503+6.4809e-06i,-1.3051-0.0049578i,-1.3052-0.0049583i,-1.3052-0.0049588i
-1.25+6.2951e-06i,-1.4362-1.7517e-07i,-1.2506+6.6348e-06i,-1.2509+6.7633e-06i,-1.2511+6.8714e-06i
-1.2442-6.7747e-05i,-1.2442-6.7101e-05i,-1.2442-6.6442e-05i,-1.2442-6.5776e-05i,-1.2442-6.5109e-05i
-1.1727-0.011545i,-1.1729-0.011504i,-1.173-0.011461i,-1.1732-0.011419i,-1.1733-0.011375i
-1.1727+0.011549i,-1.1729+0.011507i,-1.173+0.011465i,-1.1732+0.011423i,-1.1733+0.011379i
-1.1697-0.0004992i,-1.1699-0.00049862i,-1.17-0.00049807i,-1.1702-0.00049754i,-1.1703-0.00049704i
-1.1307-0.0013003i,-1.1307-0.0013028i,-1.1307-0.0013056i,-1.1307-0.0013085i,-1.1307-0.0013117i
-1.1248+7.5526e-05i,-1.125+7.5175e-05i,-1.1251+7.5709e-05i,-1.1253+7.6908e-05i,-1.1254+7.8605e-05i
-1.1234+5.2955e-06i,-1.1232+6.3094e-06i,-1.1229+6.6317e-06i,-1.1226+6.4281e-06i,-1.1223+5.7748e-06i
-1.1196-1.9912e-06i,-1.1199-1.8944e-06i,-1.1201-1.7243e-06i,-1.1203-1.4395e-06i,-1.1206-9.5469e-07i
-1.1036-0.0001163i,-1.1037-0.0001148i,-1.1038-0.00011332i,-1.1039-0.00011186i,-1.1039-0.00011043i
-1.0942+5.7402e-06i,-1.0944+5.7263e-06i,-1.0498-1.4423e-06i,-1.0949+5.6984e-06i,-1.0951+5.6845e-06i
-1.0494-1.412e-06i,-1.0832+8.5838e-07i,-1.0947+5.7124e-06i,-1.0327+0.0072097i,-1.033+0.0070323i
-1.083+8.6499e-07i,-1.0818-3.6193e-05i,-1.0554+2.8689e-06i,-1.0327-0.0071943i,-1.033-0.0070168i
-1.0816-3.6003e-05i,-1.0734+5.8025e-07i,-1.0834+8.5242e-07i,-1.0836+8.4707e-07i,-1.0838+8.4228e-07i
-1.055+1.0021e-06i,-1.0731-1.3491e-06i,-1.082-3.6379e-05i,-1.0822-3.6562e-05i,-1.0824-3.6739e-05i
